Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Mary Geren,SC,U.S. House South Carolina District 3,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-38.68,69.730003,Yes,No,No,No,No,No,No,,,,,,,Yes,,,,,,
Brandon Brown,SC,U.S. House South Carolina District 4,Representative,Nonwhite,Regular,6/12/2018,Advanced,Advanced,On the Ballot,-28.309999,28.469999,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Archie Parnell,SC,U.S. House South Carolina District 5,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-19.280001,59.959999,Yes,No,No,No,No,No,No,No,,Yes,,,,,,,,,,
Robert Williams,SC,U.S. House South Carolina District 7,Representative,Nonwhite,Regular,6/12/2018,Advanced,Advanced,On the Ballot,-19.23,41.299999,Yes,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,
Timothy Bjorkman,SD,U.S. House South Dakota At-large District,Representative,White,Regular,6/5/2018,Advanced,None,On the Ballot,-29.379999,100,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Martin Olsen,TN,U.S. House Tennessee District 1,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-57.029999,100,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,
Renee Hoyos,TN,U.S. House Tennessee District 2,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-38.18,72.410004,Yes,No,No,No,No,No,No,,,Yes,,,,Yes,,,Yes,,,
Danielle Mitchell,TN,U.S. House Tennessee District 3,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-35.98,100,Yes,No,No,No,No,Yes,No,,,,,,,,,,Yes,,,
Mariah Phillips,TN,U.S. House Tennessee District 4,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-41.48,47.509998,Yes,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Dawn Barlow,TN,U.S. House Tennessee District 6,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-49.110001,54.509998,Yes,No,No,No,No,Yes,No,,,Yes,,,,,,,No,,,
Justin Kanew,TN,U.S. House Tennessee District 7,Representative,White,Regular,8/2/2018,Advanced,None,On the Ballot,-40.209999,62.110001,Yes,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Erika Stotts Pearson,TN,U.S. House Tennessee District 8,Representative,Nonwhite,Regular,8/2/2018,Advanced,None,On the Ballot,-37.560001,50.419998,Yes,No,No,No,No,No,No,,,,,,,,,,No,,,
Phil Bredesen,TN,U.S. Senate Tennessee,Senator,White,Regular,8/2/2018,Advanced,None,On the Ballot,-27.139999,91.510002,Yes,No,No,Yes,Yes,No,No,,,,Yes,,,,,,,,,
Shirley McKellar,TX,U.S. House Texas District 1,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,-48.73,61.040001,Yes,Yes,No,No,No,No,No,,,,,,,No,,,,,,
Mike Siegel,TX,U.S. House Texas District 10,Representative,White,Regular,3/6/2018,Advanced,Advanced,On the Ballot,-14.43,40,Yes,No,No,No,No,No,No,,,Yes,,,,Yes,,,,,,
Jennie Lou Leeder,TX,U.S. House Texas District 11,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-61.459999,82.910004,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Vanessa Adia,TX,U.S. House Texas District 12,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,-33.959999,100,Yes,No,No,No,No,No,No,,,,,,,,Yes,,,,,
Greg Sagan,TX,U.S. House Texas District 13,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-65.209999,100,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,
Adrienne Bell,TX,U.S. House Texas District 14,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,-22.33,79.830002,Yes,No,No,No,No,No,Yes,,,,,,,Yes,Yes,,,,,
Veronica Escobar,TX,U.S. House Texas District 16,Representative,Nonwhite,Regular,3/6/2018,Advanced,None,On the Ballot,35.419998,61.529999,Yes,No,No,Yes,No,No,No,,Yes,,,,,Yes,,Yes,,,,
Rick Kennedy,TX,U.S. House Texas District 17,Representative,White,Regular,3/6/2018,Advanced,None,On the Ballot,-21.33,63.400002,Yes,No,No,No,No,No,No,,,,,,,No,,,,,,
